created_date;compressor_starts
2024-10-13 16:52:59+00:00;159866
2024-10-14 06:30:59+00:00;159873
2024-10-15 16:14:59+00:00;159887
2024-10-16 06:42:59+00:00;159900
2024-10-16 16:18:59+00:00;159903
2024-10-16 16:22:59+00:00;159902
2024-10-18 06:59:59+00:00;159929
2024-10-19 07:53:59+00:00;159946
2024-10-20 08:08:59+00:00;159956
2024-10-22 07:14:59+00:00;159987
2024-10-22 17:56:59+00:00;159990
2024-10-24 05:56:59+00:00;160017
2024-10-24 16:54:59+00:00;160020
2024-10-26 07:21:59+00:00;160034
2024-10-27 09:00:59+00:00;160046
2024-10-29 17:17:59+00:00;160081
2024-10-30 17:34:59+00:00;160105
2024-11-04 07:44:59+00:00;160209
2024-11-05 08:13:59+00:00;160229
2024-11-05 17:26:59+00:00;160235
2024-11-06 17:23:59+00:00;160252
2024-11-08 07:40:59+00:00;160277
2024-11-09 08:25:59+00:00;160296
2024-11-12 07:57:59+00:00;160344
2024-11-13 07:34:59+00:00;160361
2024-11-14 08:05:59+00:00;160381
2024-11-15 17:08:59+00:00;160404
2024-11-16 08:12:59+00:00;160416
2024-11-17 08:44:59+00:00;160432
2024-11-18 07:51:59+00:00;160447
2024-11-20 07:58:59+00:00;160475
2024-11-25 08:05:59+00:00;160567
2024-11-26 07:19:59+00:00;160578
2024-11-28 07:11:59+00:00;160608
2024-11-30 07:55:59+00:00;160649
2024-12-01 08:37:59+00:00;160666
2024-12-03 08:02:59+00:00;160701
2024-12-04 07:37:59+00:00;160718
2024-12-05 07:23:59+00:00;160735
2024-12-07 08:42:59+00:00;160768
2024-12-08 07:43:59+00:00;160783
2024-12-08 07:45:59+00:00;160783
2024-12-09 07:54:59+00:00;160800
2024-12-10 07:42:59+00:00;160818
2024-12-11 07:49:59+00:00;160835
2024-12-14 07:51:59+00:00;160881
2024-12-15 09:28:59+00:00;160903
2024-12-20 07:55:59+00:00;160985
2024-12-21 07:48:59+00:00;161005
2024-12-22 10:08:59+00:00;161023
2024-12-26 08:57:59+00:00;161091
2024-12-27 08:05:59+00:00;161110
2024-12-28 08:02:59+00:00;161127
2024-12-29 09:33:59+00:00;161147
2024-12-30 07:57:59+00:00;161163
2024-12-31 07:51:59+00:00;161181
2025-01-01 09:02:59+00:00;161197
2025-01-02 07:11:59+00:00;161213
2025-01-03 07:33:59+00:00;161229
2025-01-04 09:42:59+00:00;161249
2025-01-05 08:14:59+00:00;161266
2025-01-06 07:34:59+00:00;161281
2025-01-06 07:37:59+00:00;161281
2025-01-07 07:07:59+00:00;161296
2025-01-08 07:16:59+00:00;161314
2025-01-09 20:02:59+00:00;161337
2025-01-11 07:59:59+00:00;161366
2025-01-12 08:56:59+00:00;161382
2025-01-13 07:27:59+00:00;161397
2025-01-14 17:01:59+00:00;161417
2025-01-15 07:30:59+00:00;161424
2025-01-15 14:28:59+00:00;161427
2025-01-17 07:52:59+00:00;161451
2025-01-18 09:40:59+00:00;161469
2025-01-19 08:55:59+00:00;161484
2025-01-21 07:38:59+00:00;161520
2025-01-22 07:27:59+00:00;161538
2025-01-23 07:50:59+00:00;161555
2025-01-25 09:06:59+00:00;161587
2025-01-31 07:23:59+00:00;161696
2025-02-01 07:26:59+00:00;161709
2025-02-03 06:47:59+00:00;161737
2025-02-04 07:21:59+00:00;161753
