created_date;meter_id;heat_quantity;heat_quantity_type;cost_center
2025-01-15 23:59:59;15059121;13115;Water;Building
2025-01-31 23:59:59;15059121;13404;Water;Building
2025-02-15 23:59:59;15059121;13711;Water;Building
2025-02-28 23:59:59;15059121;13976;Water;Building
